Data,Height,,,residuals,residuals**,,,,
173,172.9887,,,0.0113,0.0001,,,,
165,166.48216,,,-1.4822,2.1968,,,,
168,168.41266,,,-0.4127,0.1703,,,,
167,173.8512,,,-6.8512,46.9389,,,Sum,2099.3843
173,172.81604,,,0.1840,0.0338,,,RMSE,4.450338396
173,177.03606,,,-4.0361,16.2898,,,Best_CV,0.02756
159,164.48514,,,-5.4851,30.0868,,,,
165,165.76523,,,-0.7652,0.5856,,,,
176,173.62767,,,2.3723,5.6279,,,,
173.5,173.1998,,,0.3002,0.0901,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,172.76703,,,3.2330,10.4521,,,"epochs=300, batch_size=32",
178,168.13626,,,9.8637,97.2934,,,,
172,170.94762,,,1.0524,1.1075,,,,
170,175.84532,,,-5.8453,34.1678,,,,
178,172.53777,,,5.4622,29.8360,,,,
172,171.76271,,,0.2373,0.0563,,,,
172,173.24907,,,-1.2491,1.5602,,,,
175,177.61145,,,-2.6114,6.8197,,,,
174,172.06445,,,1.9356,3.7464,,,,
172,169.59036,,,2.4096,5.8064,,,,
170,173.58606,,,-3.5861,12.8598,,,,
177,175.70482,,,1.2952,1.6775,,,,
170,171.0862,,,-1.0862,1.1798,,,,
180,176.38295,,,3.6171,13.0831,,,,
178,174.04631,,,3.9537,15.6317,,,,
173,171.42313,,,1.5769,2.4865,,,,
172,177.47987,,,-5.4799,30.0290,,,,
178,177.30417,,,0.6958,0.4842,,,,
171,168.1843,,,2.8157,7.9282,,,,
169,168.90129,,,0.0987,0.0097,,,,
170,169.7984,,,0.2016,0.0406,,,,
179,175.70424,,,3.2958,10.8620,,,,
170,169.35315,,,0.6469,0.4184,,,,
172,173.65767,,,-1.6577,2.7479,,,,
181,176.94182,,,4.0582,16.4688,,,,
172,170.51399,,,1.4860,2.2082,,,,
172,169.81038,,,2.1896,4.7944,,,,
173,175.97852,,,-2.9785,8.8716,,,,
177,174.96158,,,2.0384,4.1552,,,,
169,166.32213,,,2.6779,7.1710,,,,
166,167.19806,,,-1.1981,1.4353,,,,
172,171.352,,,0.6480,0.4199,,,,
173,174.32874,,,-1.3287,1.7655,,,,
172,171.3405,,,0.6595,0.4349,,,,
180,172.70364,,,7.2964,53.2369,,,,
176,170.62645,,,5.3735,28.8750,,,,
180,175.74486,,,4.2551,18.1062,,,,
173,175.75276,,,-2.7528,7.5777,,,,
187,173.11978,,,13.8802,192.6605,,,,
171,169.69519,,,1.3048,1.7025,,,,
163,169.68259,,,-6.6826,44.6570,,,,
174,175.51651,,,-1.5165,2.2998,,,,
169,171.70323,,,-2.7032,7.3075,,,,
158,168.80995,,,-10.8100,116.8550,,,,
170,176.92986,,,-6.9299,48.0230,,,,
161,166.90097,,,-5.9010,34.8214,,,,
168,168.29773,,,-0.2977,0.0886,,,,
173,175.14673,,,-2.1467,4.6084,,,,
170,170.1116,,,-0.1116,0.0125,,,,
166,168.38911,,,-2.3891,5.7078,,,,
171,170.7875,,,0.2125,0.0452,,,,
173,175.64157,,,-2.6416,6.9779,,,,
173,172.47345,,,0.5265,0.2773,,,,
175,172.04852,,,2.9515,8.7112,,,,
168,171.97968,,,-3.9797,15.8379,,,,
187,173.2837,,,13.7163,188.1369,,,,
180,176.75383,,,3.2462,10.5376,,,,
162,167.73265,,,-5.7327,32.8633,,,,
180,175.01038,,,4.9896,24.8963,,,,
165,170.41205,,,-5.4120,29.2903,,,,
170,173.18605,,,-3.1860,10.1509,,,,
180,174.00171,,,5.9983,35.9795,,,,
175,173.28822,,,1.7118,2.9302,,,,
170,172.67896,,,-2.6790,7.1768,,,,
174,165.81808,,,8.1819,66.9438,,,,
182,175.67905,,,6.3210,39.9544,,,,
170,171.42047,,,-1.4205,2.0177,,,,
168,169.036,,,-1.0360,1.0733,,,,
174,176.5592,,,-2.5592,6.5495,,,,
171,175.78113,,,-4.7811,22.8592,,,,
167,173.08936,,,-6.0894,37.0803,,,,
176,175.88406,,,0.1159,0.0134,,,,
174.5,174.0388,,,0.4612,0.2127,,,,
170,171.28218,,,-1.2822,1.6440,,,,
171,169.93633,,,1.0637,1.1314,,,,
180,177.90619,,,2.0938,4.3840,,,,
171,176.78438,,,-5.7844,33.4591,,,,
168,172.85722,,,-4.8572,23.5926,,,,
178,172.80751,,,5.1925,26.9620,,,,
171,168.24023,,,2.7598,7.6163,,,,
176,174.53082,,,1.4692,2.1585,,,,
174,166.92732,,,7.0727,50.0228,,,,
170,177.04166,,,-7.0417,49.5850,,,,
174,178.37961,,,-4.3796,19.1810,,,,
170,170.79338,,,-0.7934,0.6295,,,,
180,174.89429,,,5.1057,26.0683,,,,
171,175.51753,,,-4.5175,20.4081,,,,
172,177.57149,,,-5.5715,31.0415,,,,
170,170.43893,,,-0.4389,0.1927,,,,
170,168.44232,,,1.5577,2.4264,,,,
181,172.56674,,,8.4333,71.1199,,,,
165,168.18585,,,-3.1858,10.1496,,,,
182,170.29022,,,11.7098,137.1189,,,,
173,174.07132,,,-1.0713,1.1477,,,,
176,171.76581,,,4.2342,17.9284,,,,
175,177.08138,,,-2.0814,4.3321,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
