Data,Height,,,residuals,residuals**,,,,
173,172.85155,,,0.1484,0.0220,,,,
165,170.55844,,,-5.5584,30.8963,,,,
168,170.92737,,,-2.9274,8.5695,,,,
167,172.62997,,,-5.6300,31.6966,,,Sum,2140.4341
173,173.61963,,,-0.6196,0.3839,,,RMSE,4.493637133
173,173.05193,,,-0.0519,0.0027,,,,
159,169.91539,,,-10.9154,119.1457,,,,
165,168.9463,,,-3.9463,15.5733,,,,
176,173.36884,,,2.6312,6.9230,,,,
173.5,172.10883,,,1.3912,1.9354,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,172.20244,,,3.7976,14.4215,,,"epochs=300, batch_size=32",
178,171.24489,,,6.7551,45.6315,,,,
172,171.216,,,0.7840,0.6147,,,,
170,174.26085,,,-4.2609,18.1548,,,,
178,173.07776,,,4.9222,24.2284,,,,
172,173.81467,,,-1.8147,3.2930,,,,
172,173.16708,,,-1.1671,1.3621,,,,
175,173.3533,,,1.6467,2.7116,,,,
174,172.26027,,,1.7397,3.0267,,,,
172,172.24336,,,-0.2434,0.0592,,,,
170,173.89417,,,-3.8942,15.1646,,,,
177,173.40799,,,3.5920,12.9025,,,,
170,172.10861,,,-2.1086,4.4462,,,,
180,175.5562,,,4.4438,19.7474,,,,
178,173.51906,,,4.4809,20.0788,,,,
173,171.66638,,,1.3336,1.7785,,,,
172,174.12373,,,-2.1237,4.5102,,,,
178,174.52875,,,3.4713,12.0496,,,,
171,171.62665,,,-0.6267,0.3927,,,,
169,170.78008,,,-1.7801,3.1687,,,,
170,171.514,,,-1.5140,2.2922,,,,
179,174.72298,,,4.2770,18.2929,,,,
170,171.35487,,,-1.3549,1.8357,,,,
172,173.11725,,,-1.1173,1.2482,,,,
181,175.53809,,,5.4619,29.8325,,,,
172,171.0535,,,0.9465,0.8959,,,,
172,171.79692,,,0.2031,0.0412,,,,
173,173.84912,,,-0.8491,0.7210,,,,
177,173.95177,,,3.0482,9.2917,,,,
169,169.89679,,,-0.8968,0.8042,,,,
166,168.80995,,,-2.8099,7.8958,,,,
172,171.77348,,,0.2265,0.0513,,,,
173,173.27731,,,-0.2773,0.0769,,,,
172,171.7861,,,0.2139,0.0458,,,,
180,172.74487,,,7.2551,52.6369,,,,
176,170.83493,,,5.1651,26.6779,,,,
180,173.50775,,,6.4923,42.1493,,,,
173,173.21562,,,-0.2156,0.0465,,,,
187,173.61028,,,13.3897,179.2846,,,,
171,170.92883,,,0.0712,0.0051,,,,
163,171.27342,,,-8.2734,68.4495,,,,
174,173.73164,,,0.2684,0.0720,,,,
169,171.77486,,,-2.7749,7.6998,,,,
158,170.8778,,,-12.8778,165.8377,,,,
170,173.47923,,,-3.4792,12.1050,,,,
161,168.68935,,,-7.6893,59.1261,,,,
168,170.73482,,,-2.7348,7.4792,,,,
173,173.07016,,,-0.0702,0.0049,,,,
170,171.49135,,,-1.4914,2.2241,,,,
166,170.3209,,,-4.3209,18.6702,,,,
171,171.4636,,,-0.4636,0.2149,,,,
173,172.49478,,,0.5052,0.2552,,,,
173,171.72624,,,1.2738,1.6225,,,,
175,171.89613,,,3.1039,9.6340,,,,
168,172.70595,,,-4.7060,22.1460,,,,
187,173.56128,,,13.4387,180.5992,,,,
180,174.98282,,,5.0172,25.1721,,,,
162,170.58185,,,-8.5819,73.6481,,,,
180,173.83781,,,6.1622,37.9726,,,,
165,170.88159,,,-5.8816,34.5931,,,,
170,172.29073,,,-2.2907,5.2474,,,,
180,173.88127,,,6.1187,37.4389,,,,
175,172.2338,,,2.7662,7.6519,,,,
170,172.91632,,,-2.9163,8.5049,,,,
174,171.31535,,,2.6847,7.2073,,,,
182,170.64847,,,11.3515,128.8572,,,,
170,171.16652,,,-1.1665,1.3608,,,,
168,171.70805,,,-3.7080,13.7496,,,,
174,174.38036,,,-0.3804,0.1447,,,,
171,173.78792,,,-2.7879,7.7725,,,,
167,173.03217,,,-6.0322,36.3871,,,,
176,174.55553,,,1.4445,2.0865,,,,
174.5,173.10374,,,1.3963,1.9495,,,,
170,171.2659,,,-1.2659,1.6025,,,,
171,171.36543,,,-0.3654,0.1335,,,,
180,173.27484,,,6.7252,45.2278,,,,
171,173.2052,,,-2.2052,4.8629,,,,
168,173.2408,,,-5.2408,27.4660,,,,
178,172.05737,,,5.9426,35.3149,,,,
171,172.46387,,,-1.4639,2.1429,,,,
176,174.39658,,,1.6034,2.5710,,,,
174,170.92038,,,3.0796,9.4841,,,,
170,174.83102,,,-4.8310,23.3388,,,,
174,173.93123,,,0.0688,0.0047,,,,
170,172.75034,,,-2.7503,7.5644,,,,
180,174.06427,,,5.9357,35.2329,,,,
171,173.11862,,,-2.1186,4.4886,,,,
172,174.02487,,,-2.0249,4.1001,,,,
170,171.77379,,,-1.7738,3.1463,,,,
170,171.14859,,,-1.1486,1.3193,,,,
181,175.23602,,,5.7640,33.2235,,,,
165,169.95325,,,-4.9533,24.5347,,,,
182,173.13521,,,8.8648,78.5845,,,,
173,173.41249,,,-0.4125,0.1701,,,,
176,172.61046,,,3.3895,11.4890,,,,
175,173.76294,,,1.2371,1.5303,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
