Data,Height,,, ,residuals**,,,,
173,174.71852,,,-1.7185,2.9533,,,,
165,167.85352,,,-2.8535,8.1426,,,,
168,170.32457,,,-2.3246,5.4036,,,,
167,171.77573,,,-4.7757,22.8076,,,Sum,1766.6550
173,172.5039,,,0.4961,0.2461,,,RMSE,4.08246945
173,174.98192,,,-1.9819,3.9280,,,Best_CV,0.02756
159,165.90054,,,-6.9005,47.6175,,,,
165,162.48813,,,2.5119,6.3095,,,,
176,175.7092,,,0.2908,0.0846,,,,
173.5,172.46399,,,1.0360,1.0733,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,172.96315,,,3.0368,9.2225,,,"epochs=300, batch_size=32",
178,169.0972,,,8.9028,79.2598,,,,
172,170.62755,,,1.3724,1.8836,,,,
170,174.6732,,,-4.6732,21.8388,,,,
178,171.75536,,,6.2446,38.9955,,,,
172,174.03574,,,-2.0357,4.1442,,,,
172,175.84714,,,-3.8471,14.8005,,,,
175,175.60034,,,-0.6003,0.3604,,,,
174,172.58305,,,1.4170,2.0077,,,,
172,171.26355,,,0.7364,0.5424,,,,
170,172.48973,,,-2.4897,6.1988,,,,
177,173.69214,,,3.3079,10.9419,,,,
170,171.04436,,,-1.0444,1.0907,,,,
180,176.6129,,,3.3871,11.4724,,,,
178,176.23349,,,1.7665,3.1206,,,,
173,172.52069,,,0.4793,0.2297,,,,
172,177.36095,,,-5.3610,28.7398,,,,
178,175.84415,,,2.1558,4.6477,,,,
171,170.4966,,,0.5034,0.2534,,,,
169,170.39333,,,-1.3933,1.9414,,,,
170,170.96475,,,-0.9648,0.9307,,,,
179,174.83528,,,4.1647,17.3449,,,,
170,170.7974,,,-0.7974,0.6358,,,,
172,173.4324,,,-1.4324,2.0518,,,,
181,176.02101,,,4.9790,24.7903,,,,
172,169.66748,,,2.3325,5.4406,,,,
172,172.49222,,,-0.4922,0.2423,,,,
173,175.9107,,,-2.9107,8.4722,,,,
177,173.97675,,,3.0232,9.1400,,,,
169,167.44162,,,1.5584,2.4285,,,,
166,165.37837,,,0.6216,0.3864,,,,
172,172.21596,,,-0.2160,0.0466,,,,
173,174.81822,,,-1.8182,3.3059,,,,
172,169.68224,,,2.3178,5.3720,,,,
180,173.69414,,,6.3059,39.7639,,,,
176,168.45401,,,7.5460,56.9420,,,,
180,177.09526,,,2.9047,8.4375,,,,
173,175.41225,,,-2.4123,5.8190,,,,
187,173.98288,,,13.0171,169.4454,,,,
171,169.85849,,,1.1415,1.3030,,,,
163,174.41272,,,-11.4127,130.2502,,,,
174,176.14001,,,-2.1400,4.5796,,,,
169,171.28636,,,-2.2864,5.2274,,,,
158,169.50029,,,-11.5003,132.2567,,,,
170,175.98145,,,-5.9815,35.7777,,,,
161,165.75806,,,-4.7581,22.6391,,,,
168,169.44308,,,-1.4431,2.0825,,,,
173,174.80774,,,-1.8077,3.2679,,,,
170,170.5832,,,-0.5832,0.3401,,,,
166,166.67859,,,-0.6786,0.4605,,,,
171,171.48317,,,-0.4832,0.2335,,,,
173,173.16724,,,-0.1672,0.0280,,,,
173,172.73038,,,0.2696,0.0727,,,,
175,173.57416,,,1.4258,2.0330,,,,
168,172.89792,,,-4.8979,23.9896,,,,
187,175.50067,,,11.4993,132.2346,,,,
180,178.18147,,,1.8185,3.3071,,,,
162,168.50351,,,-6.5035,42.2956,,,,
180,177.78766,,,2.2123,4.8944,,,,
165,169.69083,,,-4.6908,22.0039,,,,
170,173.44167,,,-3.4417,11.8451,,,,
180,176.35785,,,3.6421,13.2653,,,,
175,173.35301,,,1.6470,2.7126,,,,
170,174.25977,,,-4.2598,18.1456,,,,
174,171.193,,,2.8070,7.8792,,,,
182,172.64471,,,9.3553,87.5215,,,,
170,173.33788,,,-3.3379,11.1414,,,,
168,169.16223,,,-1.1622,1.3508,,,,
174,173.83168,,,0.1683,0.0283,,,,
171,174.41698,,,-3.4170,11.6758,,,,
167,172.97281,,,-5.9728,35.6745,,,,
176,176.82573,,,-0.8257,0.6818,,,,
174.5,173.5537,,,0.9463,0.8955,,,,
170,169.51814,,,0.4819,0.2322,,,,
171,170.45442,,,0.5456,0.2977,,,,
180,174.53755,,,5.4624,29.8384,,,,
171,172.73357,,,-1.7336,3.0053,,,,
168,173.25766,,,-5.2577,27.6430,,,,
178,172.09534,,,5.9047,34.8650,,,,
171,168.69386,,,2.3061,5.3183,,,,
176,175.54802,,,0.4520,0.2043,,,,
174,170.61678,,,3.3832,11.4462,,,,
170,174.43245,,,-4.4324,19.6466,,,,
174,176.97397,,,-2.9740,8.8445,,,,
170,172.08504,,,-2.0850,4.3474,,,,
180,175.46722,,,4.5328,20.5461,,,,
171,173.62437,,,-2.6244,6.8873,,,,
172,174.6325,,,-2.6325,6.9301,,,,
170,172.04272,,,-2.0427,4.1727,,,,
170,169.99419,,,0.0058,0.0000,,,,
181,179.8243,,,1.1757,1.3823,,,,
165,168.02193,,,-3.0219,9.1321,,,,
182,172.65724,,,9.3428,87.2872,,,,
173,172.95879,,,0.0412,0.0017,,,,
176,172.80212,,,3.1979,10.2264,,,,
175,176.02565,,,-1.0257,1.0520,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
