Data,Height,,, ,residuals**,,,,
173,173.45001,,,-0.4500,0.2025,,,,
165,169.11319,,,-4.1132,16.9183,,,,
168,168.47357,,,-0.4736,0.2243,,,,
167,172.011,,,-5.0110,25.1101,,,Sum,674.7761
173,173.12292,,,-0.1229,0.0151,,,RMSE,3.568140275
173,175.54741,,,-2.5474,6.4893,,,Best_CV,0.02756
159,166.12625,,,-7.1263,50.7834,,,,
165,165.1887,,,-0.1887,0.0356,,,,
176,175.57483,,,0.4252,0.1808,,,,
173.5,172.8225,,,0.6775,0.4590,,,"opt = AdaBound(lr=1e-03,",
176,173.42072,,,2.5793,6.6527,,,"                final_lr=0.1,",
178,168.99261,,,9.0074,81.1331,,,"                gamma=1e-03,",
172,171.67085,,,0.3291,0.1083,,,"                weight_decay=0.,",
170,175.45789,,,-5.4579,29.7886,,,                amsbound=False),
178,172.4931,,,5.5069,30.3259,,,,
172,173.80995,,,-1.8099,3.2759,,,,
172,175.66393,,,-3.6639,13.4244,,,,
175,175.1331,,,-0.1331,0.0177,,,,
174,172.55283,,,1.4472,2.0943,,,,
172,172.20117,,,-0.2012,0.0405,,,,
170,173.2603,,,-3.2603,10.6296,,,,
177,174.33894,,,2.6611,7.0812,,,,
170,171.9537,,,-1.9537,3.8169,,,,
180,179.38977,,,0.6102,0.3724,,,,
178,176.29082,,,1.7092,2.9213,,,,
173,172.76262,,,0.2374,0.0563,,,,
172,177.13623,,,-5.1362,26.3809,,,,
178,176.51344,,,1.4866,2.2099,,,,
171,170.3954,,,0.6046,0.3655,,,,
169,170.61346,,,-1.6135,2.6033,,,,
170,171.88345,,,-1.8835,3.5474,,,,
179,175.78146,,,3.2185,10.3590,,,,
170,170.58044,,,-0.5804,0.3369,,,,
172,174.94798,,,-2.9480,8.6906,,,,
181,177.86238,,,3.1376,9.8447,,,,
172,170.76485,,,1.2352,1.5256,,,,
172,172.0666,,,-0.0666,0.0044,,,,
173,175.95235,,,-2.9524,8.7164,,,,
177,174.70576,,,2.2942,5.2635,,,,
169,167.53809,,,1.4619,2.1372,,,,
166,166.66797,,,-0.6680,0.4462,,,,
172,171.9032,,,0.0968,0.0094,,,,
173,174.51352,,,-1.5135,2.2907,,,,
172,170.68378,,,1.3162,1.7324,,,,
180,173.89876,,,6.1012,37.2251,,,,
176,170.83228,,,5.1677,26.7053,,,,
180,177.81813,,,2.1819,4.7606,,,,
173,175.43507,,,-2.4351,5.9296,,,,
187,175.08224,,,11.9178,142.0330,,,,
171,169.54492,,,1.4551,2.1173,,,,
163,171.23982,,,-8.2398,67.8946,,,,
174,175.51233,,,-1.5123,2.2871,,,,
169,171.68365,,,-2.6837,7.2020,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
