Data,Height,,, ,residuals**,,,,
173,174.82852,,,-1.8285,3.3435,,,,
165,169.24251,,,-4.2425,17.9989,,,,
168,170.42282,,,-2.4228,5.8701,,,,
167,170.27283,,,-3.2728,10.7114,,,Sum,807.9738
173,175.23157,,,-2.2316,4.9799,,,RMSE,3.904457652
173,175.11646,,,-2.1165,4.4794,,,Best_CV,0.02756
159,165.3907,,,-6.3907,40.8410,,,,
165,167.09253,,,-2.0925,4.3787,,,,
176,174.86942,,,1.1306,1.2782,,,,
173.5,174.41705,,,-0.9170,0.8410,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,174.23808,,,1.7619,3.1044,,,"epochs=300, batch_size=32",
178,171.06888,,,6.9311,48.0404,,,,
172,174.06668,,,-2.0667,4.2712,,,,
170,175.38388,,,-5.3839,28.9862,,,,
178,173.79597,,,4.2040,17.6739,,,,
172,170.87679,,,1.1232,1.2616,,,,
172,174.72067,,,-2.7207,7.4020,,,,
175,175.32782,,,-0.3278,0.1075,,,,
174,173.38834,,,0.6117,0.3741,,,,
172,172.24626,,,-0.2463,0.0606,,,,
170,174.05173,,,-4.0517,16.4165,,,,
177,175.32336,,,1.6766,2.8111,,,,
170,171.14696,,,-1.1470,1.3155,,,,
180,175.586,,,4.4140,19.4834,,,,
178,174.33823,,,3.6618,13.4086,,,,
173,173.67735,,,-0.6773,0.4588,,,,
172,175.40823,,,-3.4082,11.6160,,,,
178,175.47128,,,2.5287,6.3944,,,,
171,172.78375,,,-1.7838,3.1818,,,,
169,172.29219,,,-3.2922,10.8385,,,,
170,172.31189,,,-2.3119,5.3448,,,,
179,175.5274,,,3.4726,12.0590,,,,
170,168.60262,,,1.3974,1.9527,,,,
172,174.59073,,,-2.5907,6.7119,,,,
181,174.58336,,,6.4166,41.1733,,,,
172,168.88579,,,3.1142,9.6983,,,,
172,169.55672,,,2.4433,5.9696,,,,
173,175.34627,,,-2.3463,5.5050,,,,
177,175.45544,,,1.5446,2.3857,,,,
169,169.6664,,,-0.6664,0.4441,,,,
166,170.67099,,,-4.6710,21.8181,,,,
172,174.57364,,,-2.5736,6.6236,,,,
173,175.26405,,,-2.2641,5.1259,,,,
172,172.4343,,,-0.4343,0.1886,,,,
180,173.47151,,,6.5285,42.6212,,,,
176,171.88008,,,4.1199,16.9737,,,,
180,175.88464,,,4.1154,16.9362,,,,
173,175.27531,,,-2.2753,5.1770,,,,
187,173.60161,,,13.3984,179.5169,,,,
171,169.78082,,,1.2192,1.4864,,,,
163,173.38086,,,-10.3809,107.7623,,,,
174,175.2526,,,-1.2526,1.5690,,,,
169,173.35913,,,-4.3591,19.0020,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
