Data,Height,,, ,residuals**,,,,
173,174.47183,,,-1.4718,2.1663,,,,
165,169.53185,,,-4.5318,20.5377,,,,
168,169.3084,,,-1.3084,1.7119,,,,
167,170.12267,,,-3.1227,9.7511,,,Sum,1885.4916
173,174.15149,,,-1.1515,1.3259,,,RMSE,4.217541591
173,178.04744,,,-5.0474,25.4767,,,Best_CV,0.02756
159,165.28816,,,-6.2882,39.5410,,,,
165,164.22473,,,0.7753,0.6010,,,,
176,176.18062,,,-0.1806,0.0326,,,,
173.5,173.79459,,,-0.2946,0.0868,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,173.81773,,,2.1823,4.7623,,,"epochs=300, batch_size=32",
178,170.04735,,,7.9527,63.2446,,,,
172,172.31076,,,-0.3108,0.0966,,,,
170,177.34929,,,-7.3493,54.0121,,,,
178,173.94705,,,4.0530,16.4264,,,,
172,173.63347,,,-1.6335,2.6682,,,,
172,175.60274,,,-3.6027,12.9797,,,,
175,177.5082,,,-2.5082,6.2911,,,,
174,173.45374,,,0.5463,0.2984,,,,
172,172.81876,,,-0.8188,0.6704,,,,
170,173.9323,,,-3.9323,15.4630,,,,
177,175.51758,,,1.4824,2.1976,,,,
170,172.18303,,,-2.1830,4.7656,,,,
180,182.03044,,,-2.0304,4.1227,,,,
178,177.14142,,,0.8586,0.7372,,,,
173,173.27089,,,-0.2709,0.0734,,,,
172,178.61427,,,-6.6143,43.7486,,,,
178,178.83623,,,-0.8362,0.6993,,,,
171,171.18414,,,-0.1841,0.0339,,,,
169,171.66359,,,-2.6636,7.0947,,,,
170,170.89816,,,-0.8982,0.8067,,,,
179,177.0093,,,1.9907,3.9629,,,,
170,170.37881,,,-0.3788,0.1435,,,,
172,174.67735,,,-2.6773,7.1682,,,,
181,179.17418,,,1.8258,3.3336,,,,
172,170.51466,,,1.4853,2.2062,,,,
172,171.3315,,,0.6685,0.4469,,,,
173,177.8538,,,-4.8538,23.5594,,,,
177,176.15717,,,0.8428,0.7104,,,,
169,168.58449,,,0.4155,0.1726,,,,
166,166.48311,,,-0.4831,0.2334,,,,
172,173.63705,,,-1.6370,2.6799,,,,
173,175.85112,,,-2.8511,8.1289,,,,
172,171.59872,,,0.4013,0.1610,,,,
180,173.92554,,,6.0745,36.8991,,,,
176,170.01436,,,5.9856,35.8279,,,,
180,178.01299,,,1.9870,3.9482,,,,
173,176.87146,,,-3.8715,14.9882,,,,
187,174.1044,,,12.8956,166.2965,,,,
171,169.78442,,,1.2156,1.4776,,,,
163,170.9849,,,-7.9849,63.7586,,,,
174,177.78488,,,-3.7849,14.3253,,,,
169,172.76833,,,-3.7683,14.2003,,,,
158,169.7355,,,-11.7355,137.7220,,,,
170,177.14217,,,-7.1422,51.0106,,,,
161,166.51778,,,-5.5178,30.4459,,,,
168,169.83382,,,-1.8338,3.3629,,,,
173,176.62486,,,-3.6249,13.1396,,,,
170,171.35008,,,-1.3501,1.8227,,,,
166,169.16267,,,-3.1627,10.0025,,,,
171,171.27895,,,-0.2790,0.0778,,,,
173,175.68427,,,-2.6843,7.2053,,,,
173,172.90533,,,0.0947,0.0090,,,,
175,173.20802,,,1.7920,3.2112,,,,
168,174.2317,,,-6.2317,38.8341,,,,
187,175.97466,,,11.0253,121.5581,,,,
180,178.27672,,,1.7233,2.9697,,,,
162,169.86235,,,-7.8623,61.8165,,,,
180,177.76344,,,2.2366,5.0022,,,,
165,171.53127,,,-6.5313,42.6575,,,,
170,174.37083,,,-4.3708,19.1042,,,,
180,175.89343,,,4.1066,16.8639,,,,
175,174.98964,,,0.0104,0.0001,,,,
170,174.51947,,,-4.5195,20.4256,,,,
174,170.16324,,,3.8368,14.7207,,,,
182,174.23228,,,7.7677,60.3375,,,,
170,172.11107,,,-2.1111,4.4566,,,,
168,168.91365,,,-0.9136,0.8348,,,,
174,176.0362,,,-2.0362,4.1461,,,,
171,175.22021,,,-4.2202,17.8102,,,,
167,174.66922,,,-7.6692,58.8169,,,,
176,177.11905,,,-1.1190,1.2523,,,,
174.5,173.92538,,,0.5746,0.3302,,,,
170,172.46953,,,-2.4695,6.0986,,,,
171,170.92236,,,0.0776,0.0060,,,,
180,177.17436,,,2.8256,7.9842,,,,
171,174.71727,,,-3.7173,13.8181,,,,
168,173.50256,,,-5.5026,30.2782,,,,
178,173.96829,,,4.0317,16.2547,,,,
171,168.14737,,,2.8526,8.1375,,,,
176,176.92543,,,-0.9254,0.8564,,,,
174,170.60574,,,3.3943,11.5210,,,,
170,177.1625,,,-7.1625,51.3014,,,,
174,179.79799,,,-5.7980,33.6167,,,,
170,173.19136,,,-3.1914,10.1848,,,,
180,175.34071,,,4.6593,21.7090,,,,
171,174.46951,,,-3.4695,12.0375,,,,
172,176.98567,,,-4.9857,24.8569,,,,
170,170.6568,,,-0.6568,0.4314,,,,
170,169.37302,,,0.6270,0.3931,,,,
181,175.61157,,,5.3884,29.0352,,,,
165,167.8931,,,-2.8931,8.3700,,,,
182,172.95915,,,9.0409,81.7370,,,,
173,175.1869,,,-2.1869,4.7825,,,,
176,173.40524,,,2.5948,6.7328,,,,
175,177.88966,,,-2.8897,8.3501,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
