Data,Height,,, ,residuals**,,,,
173,172.65533,,,0.3447,0.1188,,,,
165,168.42294,,,-3.4229,11.7165,,,,
168,167.82939,,,0.1706,0.0291,,,,
167,167.23444,,,-0.2344,0.0550,,,Sum,788.5372
173,172.05107,,,0.9489,0.9005,,,RMSE,3.857208997
173,176.64589,,,-3.6459,13.2925,,,Best_CV,0.02756
159,164.2764,,,-5.2764,27.8404,,,,
165,162.53001,,,2.4700,6.1009,,,,
176,177.07578,,,-1.0758,1.1573,,,,
173.5,171.94678,,,1.5532,2.4125,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,174.21118,,,1.7888,3.1999,,,"epochs=300, batch_size=32",
178,167.55594,,,10.4441,109.0784,,,,
172,173.45853,,,-1.4585,2.1273,,,,
170,176.11661,,,-6.1166,37.4129,,,,
178,171.86275,,,6.1372,37.6658,,,,
172,172.87753,,,-0.8775,0.7701,,,,
172,176.9393,,,-4.9393,24.3967,,,,
175,175.39375,,,-0.3938,0.1550,,,,
174,172.22458,,,1.7754,3.1521,,,,
172,173.59137,,,-1.5914,2.5325,,,,
170,171.44987,,,-1.4499,2.1021,,,,
177,172.93338,,,4.0666,16.5374,,,,
170,171.91548,,,-1.9155,3.6691,,,,
180,179.02916,,,0.9708,0.9425,,,,
178,177.34518,,,0.6548,0.4288,,,,
173,174.40306,,,-1.4031,1.9686,,,,
172,178.07115,,,-6.0711,36.8589,,,,
178,177.00143,,,0.9986,0.9971,,,,
171,170.09128,,,0.9087,0.8258,,,,
169,170.715,,,-1.7150,2.9412,,,,
170,172.9031,,,-2.9031,8.4280,,,,
179,175.55716,,,3.4428,11.8531,,,,
170,168.90901,,,1.0910,1.1903,,,,
172,172.42944,,,-0.4294,0.1844,,,,
181,178.48128,,,2.5187,6.3440,,,,
172,168.64133,,,3.3587,11.2807,,,,
172,170.93716,,,1.0628,1.1296,,,,
173,176.71811,,,-3.7181,13.8243,,,,
177,175.10802,,,1.8920,3.5796,,,,
169,166.78114,,,2.2189,4.9233,,,,
166,166.79234,,,-0.7923,0.6278,,,,
172,172.57591,,,-0.5759,0.3317,,,,
173,174.31548,,,-1.3155,1.7305,,,,
172,169.53255,,,2.4675,6.0883,,,,
180,173.8491,,,6.1509,37.8336,,,,
176,169.96043,,,6.0396,36.4764,,,,
180,178.41832,,,1.5817,2.5017,,,,
173,175.79884,,,-2.7988,7.8335,,,,
187,173.64368,,,13.3563,178.3913,,,,
171,168.81023,,,2.1898,4.7951,,,,
163,171.89445,,,-8.8945,79.1112,,,,
174,177.64177,,,-3.6418,13.2625,,,,
169,171.3304,,,-2.3304,5.4308,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
