Data,Height,,, ,residuals**,,,,
173,173.48819,,,-0.4882,0.2383,,,,
165,159.3014,,,5.6986,32.4740,,,,
168,163.14618,,,4.8538,23.5596,,,,
167,171.60133,,,-4.6013,21.1722,,,Sum,6304.2765
173,167.74962,,,5.2504,27.5665,,,RMSE,7.711958669
173,175.859,,,-2.8590,8.1739,,,Best_CV,0.02756
159,150.48592,,,8.5141,72.4896,,,,
165,155.56183,,,9.4382,89.0791,,,,
176,175.98248,,,0.0175,0.0003,,,,
173.5,169.5153,,,3.9847,15.8778,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,171.80356,,,4.1964,17.6101,,,"epochs=300, batch_size=32",
178,163.89487,,,14.1051,198.9547,,,,
172,169.47437,,,2.5256,6.3788,,,,
170,173.77492,,,-3.7749,14.2500,,,,
178,168.09613,,,9.9039,98.0866,,,,
172,174.91943,,,-2.9194,8.5231,,,,
172,179.30446,,,-7.3045,53.3551,,,,
175,177.77576,,,-2.7758,7.7048,,,,
174,170.79776,,,3.2022,10.2543,,,,
172,167.69115,,,4.3089,18.5662,,,,
170,172.3213,,,-2.3213,5.3884,,,,
177,176.52863,,,0.4714,0.2222,,,,
170,172.11032,,,-2.1103,4.4535,,,,
180,185.20619,,,-5.2062,27.1044,,,,
178,181.03824,,,-3.0382,9.2309,,,,
173,168.61942,,,4.3806,19.1895,,,,
172,181.308,,,-9.3080,86.6389,,,,
178,180.17172,,,-2.1717,4.7164,,,,
171,157.77313,,,13.2269,174.9501,,,,
169,163.55685,,,5.4432,29.6279,,,,
170,155.75284,,,14.2472,202.9816,,,,
179,174.72513,,,4.2749,18.2745,,,,
170,167.55464,,,2.4454,5.9798,,,,
172,168.54637,,,3.4536,11.9276,,,,
181,178.75227,,,2.2477,5.0523,,,,
172,164.51904,,,7.4810,55.9648,,,,
172,167.23601,,,4.7640,22.6956,,,,
173,178.67247,,,-5.6725,32.1769,,,,
177,170.7803,,,6.2197,38.6847,,,,
169,158.97792,,,10.0221,100.4421,,,,
166,141.28189,,,24.7181,610.9850,,,,
172,173.73468,,,-1.7347,3.0091,,,,
173,171.2894,,,1.7106,2.9262,,,,
172,167.85165,,,4.1483,17.2088,,,,
180,183.26488,,,-3.2649,10.6594,,,,
176,155.61478,,,20.3852,415.5572,,,,
180,179.99911,,,0.0009,0.0000,,,,
173,177.2254,,,-4.2254,17.8540,,,,
187,168.54424,,,18.4558,340.6151,,,,
171,158.89728,,,12.1027,146.4758,,,,
163,161.67848,,,1.3215,1.7464,,,,
174,181.00975,,,-7.0098,49.1366,,,,
169,168.35526,,,0.6447,0.4157,,,,
158,164.56587,,,-6.5659,43.1106,,,,
170,184.51794,,,-14.5179,210.7706,,,,
161,159.73404,,,1.2660,1.6027,,,,
168,151.20084,,,16.7992,282.2118,,,,
173,180.3414,,,-7.3414,53.8962,,,,
170,165.01614,,,4.9839,24.8389,,,,
166,157.09909,,,8.9009,79.2262,,,,
171,164.06839,,,6.9316,48.0472,,,,
173,176.62538,,,-3.6254,13.1434,,,,
173,167.17184,,,5.8282,33.9674,,,,
175,171.75185,,,3.2482,10.5505,,,,
168,170.26321,,,-2.2632,5.1221,,,,
187,176.4166,,,10.5834,112.0084,,,,
180,183.1595,,,-3.1595,9.9824,,,,
162,157.61217,,,4.3878,19.2531,,,,
180,184.53287,,,-4.5329,20.5469,,,,
165,152.78314,,,12.2169,149.2517,,,,
170,172.0204,,,-2.0204,4.0820,,,,
180,180.27203,,,-0.2720,0.0740,,,,
175,173.48654,,,1.5135,2.2906,,,,
170,175.22508,,,-5.2251,27.3015,,,,
174,160.35028,,,13.6497,186.3149,,,,
182,169.49985,,,12.5002,156.2538,,,,
170,162.38075,,,7.6192,58.0530,,,,
168,164.40535,,,3.5947,12.9215,,,,
174,177.40254,,,-3.4025,11.5773,,,,
171,180.29022,,,-9.2902,86.3082,,,,
167,173.01166,,,-6.0117,36.1401,,,,
176,186.31616,,,-10.3162,106.4232,,,,
174.5,172.95734,,,1.5427,2.3798,,,,
170,166.82968,,,3.1703,10.0509,,,,
171,156.4671,,,14.5329,211.2052,,,,
180,177.36359,,,2.6364,6.9507,,,,
171,178.61084,,,-7.6108,57.9249,,,,
168,174.06725,,,-6.0673,36.8115,,,,
178,167.01767,,,10.9823,120.6116,,,,
171,158.15433,,,12.8457,165.0112,,,,
176,178.79494,,,-2.7949,7.8117,,,,
174,165.13028,,,8.8697,78.6719,,,,
170,179.32324,,,-9.3232,86.9228,,,,
174,180.59383,,,-6.5938,43.4786,,,,
170,171.11699,,,-1.1170,1.2477,,,,
180,186.7185,,,-6.7185,45.1382,,,,
171,176.5998,,,-5.5998,31.3578,,,,
172,178.1599,,,-6.1599,37.9444,,,,
170,168.39714,,,1.6029,2.5692,,,,
170,162.10976,,,7.8902,62.2559,,,,
181,188.16806,,,-7.1681,51.3811,,,,
165,159.96417,,,5.0358,25.3596,,,,
182,170.58597,,,11.4140,130.2801,,,,
173,173.48436,,,-0.4844,0.2346,,,,
176,168.97717,,,7.0228,49.3201,,,,
175,181.12218,,,-6.1222,37.4811,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
