Data,Height,,, ,residuals**,,,,
173,174.13608,,,-1.1361,1.2907,,,,
165,169.51443,,,-4.5144,20.3801,,,,
168,169.69447,,,-1.6945,2.8712,,,,
167,173.6791,,,-6.6791,44.6104,,,Sum,947.2928
173,174.04501,,,-1.0450,1.0920,,,RMSE,4.227700227
173,179.83682,,,-6.8368,46.7421,,,Best_CV,0.02756
159,168.42055,,,-9.4205,88.7468,,,,
165,166.949,,,-1.9490,3.7986,,,,
176,177.35397,,,-1.3540,1.8332,,,,
173.5,173.29878,,,0.2012,0.0405,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,173.03328,,,2.9667,8.8014,,,"epochs=300, batch_size=32",
178,169.90422,,,8.0958,65.5417,,,,
172,172.1455,,,-0.1455,0.0212,,,,
170,175.40292,,,-5.4029,29.1915,,,,
178,172.37013,,,5.6299,31.6954,,,,
172,174.26764,,,-2.2676,5.1422,,,,
172,174.5315,,,-2.5315,6.4085,,,,
175,177.82915,,,-2.8292,8.0041,,,,
174,172.69673,,,1.3033,1.6985,,,,
172,172.15219,,,-0.1522,0.0232,,,,
170,173.85463,,,-3.8546,14.8582,,,,
177,173.91,,,3.0900,9.5481,,,,
170,170.19437,,,-0.1944,0.0378,,,,
180,182.76097,,,-2.7610,7.6230,,,,
178,175.13945,,,2.8605,8.1827,,,,
173,172.36987,,,0.6301,0.3971,,,,
172,179.58011,,,-7.5801,57.4581,,,,
178,176.203,,,1.7970,3.2292,,,,
171,171.04207,,,-0.0421,0.0018,,,,
169,170.64162,,,-1.6416,2.6949,,,,
170,171.964,,,-1.9640,3.8573,,,,
179,176.01967,,,2.9803,8.8824,,,,
170,169.856,,,0.1440,0.0207,,,,
172,173.55035,,,-1.5504,2.4036,,,,
181,176.56262,,,4.4374,19.6903,,,,
172,171.49298,,,0.5070,0.2571,,,,
172,171.57793,,,0.4221,0.1781,,,,
173,178.48096,,,-5.4810,30.0409,,,,
177,174.9278,,,2.0722,4.2940,,,,
169,168.8713,,,0.1287,0.0166,,,,
166,167.76717,,,-1.7672,3.1229,,,,
172,174.2336,,,-2.2336,4.9890,,,,
173,174.9627,,,-1.9627,3.8522,,,,
172,169.47748,,,2.5225,6.3631,,,,
180,173.05962,,,6.9404,48.1689,,,,
176,171.18324,,,4.8168,23.2012,,,,
180,175.39963,,,4.6004,21.1634,,,,
173,176.65439,,,-3.6544,13.3546,,,,
187,174.74529,,,12.2547,150.1779,,,,
171,170.69402,,,0.3060,0.0936,,,,
163,172.40126,,,-9.4013,88.3837,,,,
174,179.79533,,,-5.7953,33.5858,,,,
169,172.03833,,,-3.0383,9.2314,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
