Data,Height,,,residuals,residuals**,,,,
173,175.26088,,,-2.2609,5.1116,,,,
165,169.78024,,,-4.7802,22.8507,,,,
168,169.80496,,,-1.8050,3.2579,,,,
167,171.90506,,,-4.9051,24.0596,,,Sum,2107.9207
173,174.9498,,,-1.9498,3.8017,,,RMSE,4.459377127
173,178.54659,,,-5.5466,30.7647,,,Best_CV,0.02756
159,166.36981,,,-7.3698,54.3141,,,,
165,166.42636,,,-1.4264,2.0345,,,,
176,175.45285,,,0.5471,0.2994,,,,
173.5,174.81165,,,-1.3116,1.7204,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,174.94006,,,1.0599,1.1235,,,"epochs=300, batch_size=32",
178,170.41924,,,7.5808,57.4679,,,,
172,174.07251,,,-2.0725,4.2953,,,,
170,178.0598,,,-8.0598,64.9604,,,,
178,175.27988,,,2.7201,7.3991,,,,
172,173.8911,,,-1.8911,3.5763,,,,
172,177.10413,,,-5.1041,26.0521,,,,
175,177.34006,,,-2.3401,5.4759,,,,
174,173.77423,,,0.2258,0.0510,,,,
172,172.52017,,,-0.5202,0.2706,,,,
170,175.52278,,,-5.5228,30.5011,,,,
177,174.99701,,,2.0030,4.0120,,,,
170,171.94339,,,-1.9434,3.7768,,,,
180,182.37085,,,-2.3708,5.6209,,,,
178,179.28929,,,-1.2893,1.6623,,,,
173,174.61319,,,-1.6132,2.6024,,,,
172,177.92822,,,-5.9282,35.1438,,,,
178,178.18282,,,-0.1828,0.0334,,,,
171,172.36813,,,-1.3681,1.8718,,,,
169,172.64307,,,-3.6431,13.2720,,,,
170,171.652,,,-1.6520,2.7291,,,,
179,177.43318,,,1.5668,2.4549,,,,
170,170.41084,,,-0.4108,0.1688,,,,
172,176.21982,,,-4.2198,17.8069,,,,
181,180.29843,,,0.7016,0.4922,,,,
172,171.13884,,,0.8612,0.7416,,,,
172,171.14453,,,0.8555,0.7318,,,,
173,177.58209,,,-4.5821,20.9955,,,,
177,176.31848,,,0.6815,0.4645,,,,
169,169.04022,,,-0.0402,0.0016,,,,
166,167.50363,,,-1.5036,2.2609,,,,
172,173.9479,,,-1.9479,3.7943,,,,
173,176.63158,,,-3.6316,13.1884,,,,
172,171.83939,,,0.1606,0.0258,,,,
180,174.30724,,,5.6928,32.4075,,,,
176,171.31691,,,4.6831,21.9313,,,,
180,179.1677,,,0.8323,0.6927,,,,
173,177.08348,,,-4.0835,16.6748,,,,
187,176.34805,,,10.6520,113.4640,,,,
171,170.47572,,,0.5243,0.2749,,,,
163,172.21036,,,-9.2104,84.8307,,,,
174,176.3929,,,-2.3929,5.7260,,,,
169,172.59856,,,-3.5986,12.9496,,,,
158,170.82968,,,-12.8297,164.6007,,,,
170,179.31166,,,-9.3117,86.7070,,,,
161,167.66942,,,-6.6694,44.4812,,,,
168,172.2941,,,-4.2941,18.4393,,,,
173,176.61844,,,-3.6184,13.0931,,,,
170,171.98468,,,-1.9847,3.9390,,,,
166,170.01233,,,-4.0123,16.0988,,,,
171,171.59471,,,-0.5947,0.3537,,,,
173,174.38689,,,-1.3869,1.9235,,,,
173,173.5755,,,-0.5755,0.3312,,,,
175,174.22614,,,0.7739,0.5989,,,,
168,173.84877,,,-5.8488,34.2081,,,,
187,176.66438,,,10.3356,106.8250,,,,
180,177.28453,,,2.7155,7.3738,,,,
162,170.36684,,,-8.3668,70.0040,,,,
180,179.28111,,,0.7189,0.5168,,,,
165,172.71951,,,-7.7195,59.5908,,,,
170,176.05946,,,-6.0595,36.7171,,,,
180,177.4962,,,2.5038,6.2690,,,,
175,176.36995,,,-1.3699,1.8768,,,,
170,175.7301,,,-5.7301,32.8340,,,,
174,170.34293,,,3.6571,13.3742,,,,
182,173.0681,,,8.9319,79.7788,,,,
170,166.73196,,,3.2680,10.6801,,,,
168,169.88756,,,-1.8876,3.5629,,,,
174,176.65547,,,-2.6555,7.0515,,,,
171,176.40915,,,-5.4092,29.2589,,,,
167,175.17023,,,-8.1702,66.7527,,,,
176,175.51776,,,0.4822,0.2326,,,,
174.5,173.9942,,,0.5058,0.2558,,,,
170,172.61577,,,-2.6158,6.8423,,,,
171,170.95648,,,0.0435,0.0019,,,,
180,176.68451,,,3.3155,10.9925,,,,
171,176.18181,,,-5.1818,26.8512,,,,
168,172.96465,,,-4.9647,24.6477,,,,
178,174.0695,,,3.9305,15.4488,,,,
171,168.9214,,,2.0786,4.3206,,,,
176,175.927,,,0.0730,0.0053,,,,
174,171.6112,,,2.3888,5.7064,,,,
170,178.18146,,,-8.1815,66.9363,,,,
174,180.08937,,,-6.0894,37.0804,,,,
170,172.67567,,,-2.6757,7.1592,,,,
180,178.04875,,,1.9512,3.8074,,,,
171,175.31775,,,-4.3177,18.6430,,,,
172,177.71556,,,-5.7156,32.6676,,,,
170,171.96802,,,-1.9680,3.8731,,,,
170,170.28822,,,-0.2882,0.0831,,,,
181,174.63902,,,6.3610,40.4621,,,,
165,169.58652,,,-4.5865,21.0362,,,,
182,173.2908,,,8.7092,75.8502,,,,
173,175.90529,,,-2.9053,8.4407,,,,
176,174.31331,,,1.6867,2.8449,,,,
175,177.07365,,,-2.0736,4.3000,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
