Data,Height,,,residuals,residuals**,,,,
173,174.12354,,,-1.1235,1.2623,,,,
165,169.20326,,,-4.2033,17.6674,,,,
168,169.0611,,,-1.0611,1.1259,,,,
167,169.96907,,,-2.9691,8.8154,,,Sum,1744.5912
173,173.27936,,,-0.2794,0.0780,,,RMSE,4.05689626
173,176.40047,,,-3.4005,11.5632,,,,
159,165.21236,,,-6.2124,38.5934,,,,
165,164.78342,,,0.2166,0.0469,,,,
176,175.1909,,,0.8091,0.6546,,,,
173.5,173.01701,,,0.4830,0.2333,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,173.74078,,,2.2592,5.1041,,,"epochs=300, batch_size=32",
178,169.80624,,,8.1938,67.1377,,,,
172,171.97127,,,0.0287,0.0008,,,,
170,176.50604,,,-6.5060,42.3286,,,,
178,172.87958,,,5.1204,26.2187,,,,
172,172.888,,,-0.8880,0.7885,,,,
172,175.35834,,,-3.3583,11.2784,,,,
175,176.99718,,,-1.9972,3.9887,,,,
174,172.74657,,,1.2534,1.5711,,,,
172,171.8823,,,0.1177,0.0139,,,,
170,173.18994,,,-3.1899,10.1757,,,,
177,175.59692,,,1.4031,1.9686,,,,
170,171.4006,,,-1.4006,1.9617,,,,
180,180.06697,,,-0.0670,0.0045,,,,
178,175.82921,,,2.1708,4.7123,,,,
173,172.61166,,,0.3883,0.1508,,,,
172,177.81448,,,-5.8145,33.8082,,,,
178,178.18373,,,-0.1837,0.0338,,,,
171,169.95609,,,1.0439,1.0897,,,,
169,170.2869,,,-1.2869,1.6561,,,,
170,170.79137,,,-0.7914,0.6263,,,,
179,176.34573,,,2.6543,7.0451,,,,
170,170.3266,,,-0.3266,0.1067,,,,
172,174.08513,,,-2.0851,4.3478,,,,
181,178.06082,,,2.9392,8.6388,,,,
172,170.10182,,,1.8982,3.6031,,,,
172,171.32014,,,0.6799,0.4622,,,,
173,176.54909,,,-3.5491,12.5960,,,,
177,175.1885,,,1.8115,3.2815,,,,
169,167.96126,,,1.0387,1.0790,,,,
166,166.66666,,,-0.6667,0.4444,,,,
172,172.84755,,,-0.8476,0.7183,,,,
173,174.7541,,,-1.7541,3.0769,,,,
172,171.14203,,,0.8580,0.7361,,,,
180,173.81915,,,6.1808,38.2029,,,,
176,170.37334,,,5.6267,31.6593,,,,
180,177.76227,,,2.2377,5.0074,,,,
173,175.49844,,,-2.4984,6.2422,,,,
187,173.74408,,,13.2559,175.7194,,,,
171,169.5025,,,1.4975,2.2425,,,,
163,172.1664,,,-9.1664,84.0229,,,,
174,177.00612,,,-3.0061,9.0368,,,,
169,172.31775,,,-3.3177,11.0075,,,,
158,169.58614,,,-11.5861,134.2386,,,,
170,176.12845,,,-6.1284,37.5579,,,,
161,166.18927,,,-5.1893,26.9285,,,,
168,168.20456,,,-0.2046,0.0418,,,,
173,175.66304,,,-2.6630,7.0918,,,,
170,171.26439,,,-1.2644,1.5987,,,,
166,167.82939,,,-1.8294,3.3467,,,,
171,171.29034,,,-0.2903,0.0843,,,,
173,175.5932,,,-2.5932,6.7247,,,,
173,172.77008,,,0.2299,0.0529,,,,
175,173.49918,,,1.5008,2.2525,,,,
168,173.86046,,,-5.8605,34.3450,,,,
187,175.74463,,,11.2554,126.6834,,,,
180,177.44662,,,2.5534,6.5197,,,,
162,169.05312,,,-7.0531,49.7465,,,,
180,177.13869,,,2.8613,8.1871,,,,
165,171.17842,,,-6.1784,38.1729,,,,
170,174.41452,,,-4.4145,19.4880,,,,
180,175.86406,,,4.1359,17.1060,,,,
175,174.82156,,,0.1784,0.0318,,,,
170,174.46082,,,-4.4608,19.8989,,,,
174,169.23236,,,4.7676,22.7304,,,,
182,174.79828,,,7.2017,51.8648,,,,
170,167.88809,,,2.1119,4.4602,,,,
168,168.88103,,,-0.8810,0.7762,,,,
174,176.11043,,,-2.1104,4.4539,,,,
171,174.57745,,,-3.5775,12.7981,,,,
167,173.71333,,,-6.7133,45.0688,,,,
176,176.9282,,,-0.9282,0.8616,,,,
174.5,173.49738,,,1.0026,1.0052,,,,
170,171.50455,,,-1.5045,2.2637,,,,
171,171.22058,,,-0.2206,0.0487,,,,
180,176.92543,,,3.0746,9.4530,,,,
171,174.12305,,,-3.1231,9.7534,,,,
168,173.4815,,,-5.4815,30.0468,,,,
178,173.50677,,,4.4932,20.1891,,,,
171,168.07434,,,2.9257,8.5595,,,,
176,175.72136,,,0.2786,0.0776,,,,
174,169.6575,,,4.3425,18.8573,,,,
170,176.18869,,,-6.1887,38.2999,,,,
174,178.11777,,,-4.1178,16.9560,,,,
170,172.77942,,,-2.7794,7.7252,,,,
180,175.30905,,,4.6909,22.0050,,,,
171,173.97856,,,-2.9786,8.8718,,,,
172,176.01878,,,-4.0188,16.1506,,,,
170,170.71658,,,-0.7166,0.5135,,,,
170,168.80994,,,1.1901,1.4162,,,,
181,176.12706,,,4.8729,23.7455,,,,
165,167.45406,,,-2.4541,6.0224,,,,
182,172.12369,,,9.8763,97.5415,,,,
173,174.55234,,,-1.5523,2.4098,,,,
176,172.62828,,,3.3717,11.3685,,,,
175,177.06485,,,-2.0649,4.2636,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
