Data,Height,,, ,residuals**,,,,
173,175.00024,,,-2.0002,4.0010,,,,
165,171.8449,,,-6.8449,46.8527,,,,
168,171.8449,,,-3.8449,14.7833,,,,
167,171.8753,,,-4.8753,23.7686,,,Sum,2313.7443
173,175.89516,,,-2.8952,8.3820,,,RMSE,4.672020568
173,175.24266,,,-2.2427,5.0295,,,Best_CV,0.02756
159,171.8449,,,-12.8449,164.9915,,,,
165,171.8449,,,-6.8449,46.8527,,,,
176,175.37685,,,0.6232,0.3883,,,,
173.5,173.8517,,,-0.3517,0.1237,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,174.87231,,,1.1277,1.2717,,,"epochs=300, batch_size=32",
178,174.15775,,,3.8423,14.7629,,,,
172,171.95026,,,0.0497,0.0025,,,,
170,175.30206,,,-5.3021,28.1118,,,,
178,173.07903,,,4.9210,24.2159,,,,
172,175.24251,,,-3.2425,10.5139,,,,
172,175.97511,,,-3.9751,15.8015,,,,
175,175.96243,,,-0.9624,0.9263,,,,
174,173.37141,,,0.6286,0.3951,,,,
172,173.82373,,,-1.8237,3.3260,,,,
170,174.10115,,,-4.1011,16.8194,,,,
177,175.72653,,,1.2735,1.6217,,,,
170,171.8449,,,-1.8449,3.4037,,,,
180,175.88068,,,4.1193,16.9688,,,,
178,176.10628,,,1.8937,3.5862,,,,
173,173.17554,,,-0.1755,0.0308,,,,
172,175.68924,,,-3.6892,13.6105,,,,
178,175.38667,,,2.6133,6.8295,,,,
171,174.55922,,,-3.5592,12.6680,,,,
169,171.8449,,,-2.8449,8.0935,,,,
170,171.8449,,,-1.8449,3.4037,,,,
179,176.56316,,,2.4368,5.9382,,,,
170,173.08096,,,-3.0810,9.4923,,,,
172,173.97455,,,-1.9745,3.8988,,,,
181,175.74391,,,5.2561,27.6265,,,,
172,172.80188,,,-0.8019,0.6430,,,,
172,173.3813,,,-1.3813,1.9080,,,,
173,176.48962,,,-3.4896,12.1774,,,,
177,175.87593,,,1.1241,1.2635,,,,
169,172.70901,,,-3.7090,13.7568,,,,
166,171.8449,,,-5.8449,34.1629,,,,
172,173.54126,,,-1.5413,2.3755,,,,
173,175.3592,,,-2.3592,5.5658,,,,
172,171.8449,,,0.1551,0.0241,,,,
180,172.66006,,,7.3399,53.8747,,,,
176,171.8449,,,4.1551,17.2649,,,,
180,176.51228,,,3.4877,12.1642,,,,
173,174.6882,,,-1.6882,2.8500,,,,
187,173.39195,,,13.6081,185.1790,,,,
171,172.69547,,,-1.6955,2.8746,,,,
163,171.8449,,,-8.8449,78.2323,,,,
174,174.80266,,,-0.8027,0.6443,,,,
169,171.8449,,,-2.8449,8.0935,,,,
158,171.8449,,,-13.8449,191.6813,,,,
170,172.95804,,,-2.9580,8.7500,,,,
161,171.8449,,,-10.8449,117.6119,,,,
168,171.8449,,,-3.8449,14.7833,,,,
173,174.77412,,,-1.7741,3.1475,,,,
170,172.86961,,,-2.8696,8.2347,,,,
166,171.8449,,,-5.8449,34.1629,,,,
171,172.26602,,,-1.2660,1.6028,,,,
173,172.68646,,,0.3135,0.0983,,,,
173,173.05612,,,-0.0561,0.0031,,,,
175,175.30351,,,-0.3035,0.0921,,,,
168,175.18958,,,-7.1896,51.6901,,,,
187,177.39655,,,9.6035,92.2263,,,,
180,176.06696,,,3.9330,15.4688,,,,
162,171.8449,,,-9.8449,96.9221,,,,
180,176.12885,,,3.8712,14.9858,,,,
165,172.71124,,,-7.7112,59.4632,,,,
170,175.73691,,,-5.7369,32.9121,,,,
180,176.24588,,,3.7541,14.0934,,,,
175,176.28995,,,-1.2900,1.6640,,,,
170,176.23909,,,-6.2391,38.9262,,,,
174,172.8241,,,1.1759,1.3827,,,,
182,173.65956,,,8.3404,69.5629,,,,
170,172.9762,,,-2.9762,8.8578,,,,
168,172.70596,,,-4.7060,22.1461,,,,
174,175.33913,,,-1.3391,1.7933,,,,
171,171.8449,,,-0.8449,0.7139,,,,
167,174.46638,,,-7.4664,55.7468,,,,
176,174.99847,,,1.0015,1.0031,,,,
174.5,174.0774,,,0.4226,0.1786,,,,
170,173.09389,,,-3.0939,9.5722,,,,
171,171.9968,,,-0.9968,0.9936,,,,
180,174.28731,,,5.7127,32.6348,,,,
171,174.24397,,,-3.2440,10.5233,,,,
168,173.32037,,,-5.3204,28.3063,,,,
178,173.948,,,4.0520,16.4187,,,,
171,174.21867,,,-3.2187,10.3598,,,,
176,175.97968,,,0.0203,0.0004,,,,
174,173.4301,,,0.5699,0.3248,,,,
170,175.13759,,,-5.1376,26.3948,,,,
174,175.25975,,,-1.2598,1.5870,,,,
170,174.39581,,,-4.3958,19.3231,,,,
180,174.02377,,,5.9762,35.7153,,,,
171,171.90536,,,-0.9054,0.8197,,,,
172,175.47792,,,-3.4779,12.0959,,,,
170,171.8449,,,-1.8449,3.4037,,,,
170,173.12445,,,-3.1245,9.7622,,,,
181,173.60309,,,7.3969,54.7143,,,,
165,171.8449,,,-6.8449,46.8527,,,,
182,175.05223,,,6.9478,48.2715,,,,
173,174.58138,,,-1.5814,2.5008,,,,
176,174.92773,,,1.0723,1.1498,,,,
175,175.75378,,,-0.7538,0.5682,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
