Data,Height,,, ,residuals**,,,,
173,174.60641,,,-1.6064,2.5806,,,,
165,169.83095,,,-4.8310,23.3381,,,,
168,170.00261,,,-2.0026,4.0104,,,,
167,170.93098,,,-3.9310,15.4526,,,Sum,932.7403
173,176.0298,,,-3.0298,9.1797,,,RMSE,4.195101123
173,175.52925,,,-2.5292,6.3971,,,Best_CV,0.02756
159,170.28926,,,-11.2893,127.4474,,,,
165,169.08354,,,-4.0835,16.6753,,,,
176,175.47508,,,0.5249,0.2755,,,,
173.5,172.38939,,,1.1106,1.2335,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,174.4931,,,1.5069,2.2707,,,"epochs=300, batch_size=32",
178,171.69582,,,6.3042,39.7427,,,,
172,172.82391,,,-0.8239,0.6788,,,,
170,174.12128,,,-4.1213,16.9849,,,,
178,170.76358,,,7.2364,52.3658,,,,
172,175.19325,,,-3.1933,10.1968,,,,
172,175.01567,,,-3.0157,9.0943,,,,
175,175.63797,,,-0.6380,0.4070,,,,
174,172.75575,,,1.2442,1.5482,,,,
172,171.89426,,,0.1057,0.0112,,,,
170,173.00204,,,-3.0020,9.0122,,,,
177,176.45158,,,0.5484,0.3008,,,,
170,170.07425,,,-0.0743,0.0055,,,,
180,174.60435,,,5.3956,29.1130,,,,
178,175.58006,,,2.4199,5.8561,,,,
173,172.31425,,,0.6858,0.4703,,,,
172,175.50392,,,-3.5039,12.2775,,,,
178,175.21832,,,2.7817,7.7377,,,,
171,172.98997,,,-1.9900,3.9600,,,,
169,171.58415,,,-2.5841,6.6778,,,,
170,172.20969,,,-2.2097,4.8827,,,,
179,176.7093,,,2.2907,5.2473,,,,
170,173.15704,,,-3.1570,9.9669,,,,
172,173.97717,,,-1.9772,3.9092,,,,
181,174.00374,,,6.9963,48.9477,,,,
172,171.36246,,,0.6375,0.4065,,,,
172,172.86003,,,-0.8600,0.7397,,,,
173,175.92844,,,-2.9284,8.5758,,,,
177,175.95679,,,1.0432,1.0883,,,,
169,171.46925,,,-2.4692,6.0972,,,,
166,171.31978,,,-5.3198,28.3001,,,,
172,172.28862,,,-0.2886,0.0833,,,,
173,173.6542,,,-0.6542,0.4280,,,,
172,170.57945,,,1.4205,2.0180,,,,
180,174.22905,,,5.7710,33.3039,,,,
176,172.26205,,,3.7380,13.9723,,,,
180,172.64056,,,7.3594,54.1614,,,,
173,173.74664,,,-0.7466,0.5575,,,,
187,172.7061,,,14.2939,204.3156,,,,
171,171.4937,,,-0.4937,0.2437,,,,
163,172.14546,,,-9.1455,83.6394,,,,
174,173.0788,,,0.9212,0.8486,,,,
169,171.38872,,,-2.3887,5.7060,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,0.0000,0.0000,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
