Data,Height,,,residuals,residuals**,,,,
173,174.1447,,,-1.1447,1.3103,,,,
165,172.83548,,,-7.8355,61.3947,,,,
168,172.69617,,,-4.6962,22.0540,,,,
167,173.05417,,,-6.0542,36.6530,,,Sum,2837.3061
173,174.37982,,,-1.3798,1.9039,,,RMSE,5.173687152
173,173.1081,,,-0.1081,0.0117,,,Best_CV,0.02756
159,172.9137,,,-13.9137,193.5910,,,,
165,172.675,,,-7.6750,58.9056,,,,
176,174.32701,,,1.6730,2.7989,,,,
173.5,172.72575,,,0.7742,0.5995,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,172.675,,,3.3250,11.0556,,,"epochs=300, batch_size=32",
178,173.22928,,,4.7707,22.7598,,,,
172,172.7182,,,-0.7182,0.5158,,,,
170,172.675,,,-2.6750,7.1556,,,,
178,176.2788,,,1.7212,2.9625,,,,
172,173.08939,,,-1.0894,1.1868,,,,
172,172.70164,,,-0.7016,0.4923,,,,
175,174.57329,,,0.4267,0.1821,,,,
174,173.6589,,,0.3411,0.1163,,,,
172,172.71518,,,-0.7152,0.5115,,,,
170,172.68657,,,-2.6866,7.2177,,,,
177,173.03337,,,3.9666,15.7342,,,,
170,172.69199,,,-2.6920,7.2468,,,,
180,174.17856,,,5.8214,33.8892,,,,
178,172.69044,,,5.3096,28.1914,,,,
173,172.675,,,0.3250,0.1056,,,,
172,174.96277,,,-2.9628,8.7780,,,,
178,172.89748,,,5.1025,26.0357,,,,
171,173.53758,,,-2.5376,6.4393,,,,
169,172.675,,,-3.6750,13.5056,,,,
170,172.74744,,,-2.7474,7.5484,,,,
179,172.76314,,,6.2369,38.8984,,,,
170,173.56961,,,-3.5696,12.7421,,,,
172,173.17271,,,-1.1727,1.3752,,,,
181,172.675,,,8.3250,69.3056,,,,
172,172.85643,,,-0.8564,0.7335,,,,
172,173.49675,,,-1.4967,2.2403,,,,
173,174.32089,,,-1.3209,1.7448,,,,
177,172.77269,,,4.2273,17.8701,,,,
169,173.06789,,,-4.0679,16.5477,,,,
166,172.675,,,-6.6750,44.5556,,,,
172,172.74667,,,-0.7467,0.5575,,,,
173,172.89806,,,0.1019,0.0104,,,,
172,172.70453,,,-0.7045,0.4964,,,,
180,172.67563,,,7.3244,53.6464,,,,
176,172.76431,,,3.2357,10.4697,,,,
180,172.7851,,,7.2149,52.0548,,,,
173,172.675,,,0.3250,0.1056,,,,
187,172.72337,,,14.2766,203.8222,,,,
171,172.70538,,,-1.7054,2.9083,,,,
163,172.73793,,,-9.7379,94.8273,,,,
174,173.5433,,,0.4567,0.2086,,,,
169,173.1951,,,-4.1951,17.5989,,,,
158,173.15953,,,-15.1595,229.8113,,,,
170,172.675,,,-2.6750,7.1556,,,,
161,172.675,,,-11.6750,136.3056,,,,
168,172.68733,,,-4.6873,21.9711,,,,
173,173.18004,,,-0.1800,0.0324,,,,
170,173.37704,,,-3.3770,11.4044,,,,
166,172.675,,,-6.6750,44.5556,,,,
171,172.72816,,,-1.7282,2.9865,,,,
173,173.0928,,,-0.0928,0.0086,,,,
173,172.675,,,0.3250,0.1056,,,,
175,172.675,,,2.3250,5.4056,,,,
168,172.81749,,,-4.8175,23.2082,,,,
187,172.675,,,14.3250,205.2056,,,,
180,174.59921,,,5.4008,29.1685,,,,
162,172.85289,,,-10.8529,117.7852,,,,
180,172.675,,,7.3250,53.6556,,,,
165,172.8351,,,-7.8351,61.3888,,,,
170,172.675,,,-2.6750,7.1556,,,,
180,172.675,,,7.3250,53.6556,,,,
175,172.675,,,2.3250,5.4056,,,,
170,172.675,,,-2.6750,7.1556,,,,
174,173.38585,,,0.6141,0.3772,,,,
182,174.48419,,,7.5158,56.4874,,,,
170,172.85445,,,-2.8545,8.1479,,,,
168,172.9891,,,-4.9891,24.8911,,,,
174,172.69872,,,1.3013,1.6933,,,,
171,172.675,,,-1.6750,2.8056,,,,
167,172.75362,,,-5.7536,33.1041,,,,
176,172.8562,,,3.1438,9.8835,,,,
174.5,172.75479,,,1.7452,3.0458,,,,
170,172.84926,,,-2.8493,8.1183,,,,
171,172.79182,,,-1.7918,3.2106,,,,
180,173.66055,,,6.3395,40.1886,,,,
171,174.14789,,,-3.1479,9.9092,,,,
168,173.15816,,,-5.1582,26.6066,,,,
178,173.29683,,,4.7032,22.1198,,,,
171,173.58446,,,-2.5845,6.6794,,,,
176,172.7398,,,3.2602,10.6289,,,,
174,172.86636,,,1.1336,1.2851,,,,
170,172.8042,,,-2.8042,7.8635,,,,
174,173.2861,,,0.7139,0.5097,,,,
170,172.80156,,,-2.8016,7.8487,,,,
180,172.675,,,7.3250,53.6556,,,,
171,173.24643,,,-2.2464,5.0464,,,,
172,174.23875,,,-2.2388,5.0120,,,,
170,172.695,,,-2.6950,7.2630,,,,
170,174.03072,,,-4.0307,16.2467,,,,
181,172.675,,,8.3250,69.3056,,,,
165,172.71901,,,-7.7190,59.5831,,,,
182,173.28792,,,8.7121,75.9003,,,,
173,172.72841,,,0.2716,0.0738,,,,
176,173.13289,,,2.8671,8.2203,,,,
175,172.87978,,,2.1202,4.4953,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
